Identifier,Lat,Long
SIEN_SEQU_KAWEEAFK_C,36.451390000,-118.787500000
SIEN_SEQU_KAWEEAFK_D,36.451400000,-118.787000000
DEVA_TSS_MW-2,36.452277778,-116.828861111
DEVA_FC_PW-1,36.452690817,-116.828813276
DEVA_TSS_MW-1,36.452861111,-116.828138889
DEVA_USGSADAPS_362711116494401,36.453004080,-116.829774000
DEVA_WRPMW-5,36.453071814,-116.812385592
DEVA_TSS-1,36.454853611,-116.828836389
DEVA_TSS-2D,36.455025278,-116.828193333
DEVA_TSS-2I,36.455025278,-116.828193333
DEVA_TSS-2S,36.455025278,-116.828193333
SIEN_WEI_SEKI-32_Well-349,36.455250000,-118.317609000
SIEN_WEI_SEKI-32_Well-347,36.455943000,-118.317723000
DEVA_WRPMW-1,36.456991600,-116.835589169
DEVA_USGSADAPS_362727116501401,36.457448430,-116.838107600
DEVA_TSF,36.457738353,-116.838724348
DEVA_TC_MW-1,36.459519523,-116.852168292
SIEN_WEI_SEKI-24_Well-331,36.459700000,-118.492000000
SIEN_WEI_SEKI-24_Well-326,36.459800000,-118.491000000
SIEN_WEI_SEKI-15_Well-226,36.477300000,-118.653000000
SFAN_PINN_BG,36.482150000,-121.179640000
SFAN_PINN_BV_Rain,36.483400000,-121.157000000
DEVA_P_GNO0081,36.490704000,-116.864068000
DEVA_GF-2A,36.497977778,-116.350233333
DEVA_GF-2B,36.497977778,-116.350233333
GRCA_Vaseys Paradise,36.498940000,-111.857748000
PARA_P_YEL0068,36.499374000,-113.710206000
DEVA_GF-1,36.503305556,-116.363444444
DEVA_P_ARR0137,36.507043000,-117.315466000
PARA_P_LIN0020,36.507487000,-113.665735000
DEVA_USGSADAPS_363031116501501,36.508559020,-116.838385600
DEVA_NSF,36.508842369,-116.838762841
DEVA_NvSpMW-2,36.512344200,-116.821914900
DEVA_NvSpMW-1,36.512379128,-116.821735392
SIEN_SEQU_KAWEMIFK_R,36.513100000,-118.791000000
SIEN_SEQU_KAWEMAPO_R,36.521900000,-118.798000000
DEVA_P_SIS0800,36.549118000,-117.463951000
DEVA_P_BOT0781,36.561927000,-117.458260000
KP_Riggs,36.562050000,-112.326950000
CUGA_YC0,36.571910000,-83.738570000
PARA_P_JUM0125,36.581113000,-113.743737000
SIEN_WEI_SEKI-31_Well-329,36.590000000,-118.626000000
SIEN_WEI_SEKI-31_Well-333,36.590600000,-118.626000000
DEVA_P_BUR0315,36.596591000,-117.445016000
DEVA_SCF,36.599444444,-117.012777778
SIEN_SEQU_KAWEMATO,36.608300000,-118.685000000
SIEN_WEI_SEKI-19_Well-346,36.612800000,-118.723000000
SIEN_WEI_SEKI-19_Well-344,36.613700000,-118.724000000
CUGA_DB3,36.625100000,-83.679390000
CUGA_DB1.5,36.631130000,-83.681230000
PARA_P_LIM0080,36.631827000,-114.042906000
CUGA_DB1,36.634300000,-83.683980000
SIEN_WEI_SEKI-22_Well-332,36.638700000,-118.365000000
SIEN_WEI_SEKI-03_Well-319,36.649600000,-118.739000000
SIEN_WEI_SEKI-03_Well-320,36.649700000,-118.738000000
SIEN_WEI_SEKI-06_Well-315,36.651500000,-118.402000000
SIEN_WEI_SEKI-06_Well-314,36.657300000,-118.400000000
SIEN_WEI_SEKI-07_Well-317,36.672500000,-118.743000000
SIEN_WEI_SEKI-07_Well-316,36.672800000,-118.743000000
SIEN_WEI_SEKI-10_Well-318,36.678300000,-118.587000000
PARA_P_IDE0203,36.727762000,-113.734216000
PARA_P_MUST0197,36.736371000,-113.704258000
SIEN_WEI_SEKI-30_Well-338,36.744000000,-118.687000000
CAVO_001,36.778566000,-103.977586000
HTLN_OZAR_Temp_SPRPHI,36.835469000,90.944947000
SIEN_WEI_SEKI-02_Well-306,36.886900000,-118.604000000
SIEN_WEI_SEKI-02_Well-305,36.887600000,-118.604000000
SIEN_WEI_SEKI-18_Well-215,36.897900000,-118.557000000
DEVA_P_LOS0390,36.899607000,-117.271727000
SIEN_WEI_SEKI-09_Well-307,36.903600000,-118.653000000
DEVA_P_MCD0281,36.904501000,-117.017534000
SIEN_WEI_SEKI-05_Well-348,36.912300000,-118.813000000
SIEN_WEI_SEKI-05_Well-345,36.913000000,-118.812000000
SIEN_WEI_SEKI-29_Well-219,36.934600000,-118.578000000
SIEN_WEI_SEKI-29_Well-341,36.935100000,-118.579000000
DEVA_P_SHR0202,36.935882000,-117.301322000
HTLN_OZAR_Temp_SPRBIG,36.951836000,-90.993154000
DEVA_P_CUR0123,36.969636000,-116.925842000
DEVA_P_NEL0651,36.977693000,-117.152132000
HTLN_GWCA_Temp_CARV1,36.988232000,-94.356588000
HTLN_GWCA_Temp_WILL1,36.988585000,-94.355666000
HTLN_GWCA_Temp_HARK1,36.989330000,-94.359761000
DEVA_P_GRA0378,37.001587000,-117.370512000
DEVA_P_WAU0880,37.004376000,-117.947804000
SIEN_WEI_SEKI-21_Well-334,37.007400000,-118.727000000
SIEN_WEI_SEKI-13_Well-222,37.021400000,-118.500000000
HTLN_OZAR_Temp_CMRY,37.034130000,-91.055114000
HTLN_OZAR_Temp_JM01,37.056824000,-91.666657000
HTLN_OZAR_Temp_JM02,37.060771000,-91.563617000
HTLN_WICR_Temp_TERR1,37.080965000,-93.420330000
HTLN_WICR_Temp_WCLW1,37.091217000,-93.403971000
QMYC NPSLR,37.092600000,-86.064500000
HTLN_WICR_Temp_SKEG1,37.097300000,93.411644000
SIEN_WEI_SEKI_01_Well_308,37.098000000,-118.570000000
BOWA_03_pilot,37.106920000,-79.730140000
BOWA_03,37.106927000,-79.730143000
HTLN_OZAR_Temp_CM05,37.114590000,-91.131614000
HTLN_WICR_Temp_WCUP1,37.116040000,-93.406907000
HTLN_OZAR_Temp_JM03,37.120347000,-91.504685000
HTLN_OZAR_Temp_JMAL,37.151885000,-91.430508000
HTLN_OZAR_Temp_CM04,37.159045000,-91.169785000
ZION_P3_left,37.163503664,-112.959482206
ZION_P3_instream,37.163608105,-112.959518933
ZION_P3_right,37.163673835,-112.959588914
HTLN_OZAR_Temp_SPRBLU,37.166187000,-91.162457000
HTLN_OZAR_Temp_JMSH,37.173518000,-91.301924000
HTLN_OZAR_Temp_CMTR,37.191160000,91.271390000
COLO_TR-2P05,37.200800000,76.739300000
COLO_TR-2P09,37.200800000,76.739300000
COLO_TR-2W13,37.200800000,76.739300000
COLO_TR-2W29,37.200800000,76.739300000
COLO_EW-4W09,37.202210000,-76.735600000
COLO_EW-3W08,37.202250000,-76.735400000
COLO_EW-8W07,37.202250000,-76.735960000
COLO_EW-8W11,37.202250000,-76.735960000
COLO_EW-2W06,37.202290000,-76.735300000
COLO_EW-2W10,37.202290000,-76.735300000
COLO_BP-1W07,37.202330000,-76.735200000
COLO_EW-1W07,37.202330000,-76.735200000
COLO_EW-9W07,37.202330000,-76.735970000
COLO_BP-6P06,37.202710000,-76.736000000
